slug,title,category,score,risk_level,salary_low_usd,salary_high_usd,salary_trend,tasks_at_risk_count,tasks_growing_count,defense_skill_1,defense_skill_2,defense_skill_3,insight,score_q1_2025,score_q3_2025,score_q1_2026,score_q2_2026,score_q3_2026,soc_code,tier,sub_task_automation,sub_tool_maturity,sub_adoption,sub_agentic_exposure,agentic_risk
librarian,Librarian,Education,28,Low,48000,80000,stable,4,3,AI-Powered Discovery & Reference Tools,Information Literacy Instruction Design,Digital Collection & Metadata Management,"AI reference chatbots and discovery tools now field routine lookups and cataloging work. Librarians who teach information literacy, run community programming, and make judgment calls on collections and complex research stay firmly in demand.",,,,,28,25-4022,1,34,55,38,35,Low
college-professor,College Professor,Education,26,Low,60000,150000,stable,4,3,AI-Enhanced Research Methods & Literature Synthesis,AI Literacy Curriculum Development,Digital Pedagogy & Academic Integrity Tools,"Course prep and first-pass grading increasingly run through AI, but professors who produce original research, run genuine seminar discussion, and mentor graduate students remain hard to displace. The bigger near-term shift is defending academic integrity against AI-written student work.",18,20,22,25,26,25-1199,1,32,55,42,28,Low
teacher,Teacher (K-12),Education,25,Low,45000,80000,stable,4,3,"AI Teaching Tools (MagicSchool AI, Khanmigo, Diffit)",Differentiated Instruction Methods,EdTech Integration & Digital Literacy,"AI now drafts lesson plans and grades routine quizzes, freeing time -- but classroom management, mentoring, and differentiated instruction for diverse learners are the parts of teaching AI still can't do.",16,18,20,22,25,25-2021,1,30,60,45,25,Low
school-counselor,School Counselor,Education,21,Low,48000,82000,stable,4,3,AI-Assisted Scheduling & College-Match Tools,Crisis Intervention & Mental-Health First Aid,Individualized Career & College Counseling,"AI can handle scheduling and routine resource lookups, but the crisis intervention, mental-health support, and trust-building at the core of school counseling remain firmly human work.",,,,,21,21-1012,1,28,45,32,22,Low
teaching-assistant,Teaching Assistant,Education,21,Low,26000,42000,stable,3,3,AI-Assisted Grading & Material Prep Tools,Small-Group Instruction & Accommodation Support,Classroom Behavior Management,"AI can pre-grade quizzes and draft practice worksheets, but the one-on-one support and accommodation help teaching assistants provide inside the classroom is what schools still pay for.",,,,,21,25-9042,2,30,42,28,20,Low
school-principal,School Principal,Education,20,Low,75000,135000,stable,4,3,AI-Assisted Compliance & Reporting Tools,Instructional Leadership & Teacher Coaching,School Culture & Crisis Management,"AI now drafts compliance reports and helps with scheduling logistics, but the accountable, relationship-heavy work of leading a school -- coaching teachers, shaping culture, and handling crises -- stays firmly with the principal.",,,,,20,11-9032,2,26,48,35,20,Low
school-psychologist,School Psychologist,Education,18,Low,68000,105000,rising,3,3,AI-Assisted Psychoeducational Report Drafting,Clinical Assessment & Diagnostic Interpretation,Crisis Intervention Certification,"AI can help draft evaluation-report boilerplate, but clinical interpretation, crisis response, and licensed judgment in IEP meetings keep school psychologists firmly needed.",,,,,18,19-3034,2,26,40,25,15,Low
special-education-teacher,Special Education Teacher,Education,16,Low,48000,82000,rising,4,4,AI-Assisted IEP Documentation & Progress Tracking,Behavior Intervention & Individualized Support Planning,Assistive Technology Certification,"AI can draft IEP paperwork and generate differentiated worksheets, cutting real administrative load. But behavior intervention, physical support, and the legally-mandated human judgment in IEP meetings keep this one of the lowest-displacement roles in education.",,,,,16,25-2058,1,24,32,22,18,Low
preschool-teacher,Preschool Teacher,Education,9,Low,28000,42000,stable,3,3,Early Childhood Development Certification,AI-Assisted Parent Communication Tools,Play-Based & Social-Emotional Curriculum Design,This is among the most AI-resistant jobs in the index -- hands-on care and safety supervision of very young children sit almost entirely outside current AI capability.,,,,,9,25-2011,2,14,25,15,8,Low
technical-writer,Technical Writer,Creative,60,High,60000,110000,mixed,5,3,Docs-as-Code & Agentic Documentation Pipelines,Information Architecture for Complex Systems,Developer Experience (DX) Writing,"AI now drafts most reference and how-to documentation directly from code and specs, and agent pipelines can keep docs current without a writer opening the file. Technical writers who own information architecture and developer experience across a whole product line are the ones still driving headcount decisions.",42,48,54,60,60,27-3042,1,62,82,70,58,High
translator,Translator,Creative,59,High,45000,85000,declining,4,3,MT Post-Editing & Localization QA,Certified Legal/Medical Translation Credentials,Live Simultaneous Interpretation,"Machine translation has closed the quality gap for routine document and localization work to the point that most high-volume translation is now MT-plus-light-editing rather than translate-from-scratch. Translators without certified legal, medical, or literary specialization, or live interpretation skills, are competing directly with a free browser tab.",,,,,59,27-3091,1,58,88,78,62,High
copy-editor,Copy Editor,Creative,58,High,40000,75000,declining,4,3,"AI-Assisted Editing Tools (Grammarly, LLM Copyedit Passes)",Developmental Editing & Structural Feedback,"High-Stakes Editing (Legal, Medical, Academic)","Mechanical copyediting is now handled reliably by AI at commodity cost, making this one of the more exposed roles in the Creative category. Editors doing developmental and high-liability work are the ones still needed.",,,,,58,27-3041,2,60,85,68,55,High
graphic-designer,Graphic Designer,Creative,55,High,50000,95000,mixed,5,3,"Agentic design pipelines (Firefly, Figma AI)",Brand Identity & Design Systems,Motion Design & Animation,"AI now produces most first-pass design work in seconds, and agentic pipelines can take a brief through export without a human touch for template-driven formats. Designers who own brand systems, creative direction, and motion work are pulling further ahead of production-only roles.",35,40,46,52,55,27-1024,1,58,80,68,50,Moderate
illustrator,Illustrator,Creative,52,High,38000,80000,mixed,4,3,"AI Image-Generation Direction (Midjourney, Firefly)",Original IP & Character Development,Signature Style & Gallery/Commission Work,"Generative image tools now cover most commercial illustration briefs at production quality, collapsing day-rate stock and concept work. Illustrators building recognizable, ownable style and original IP are the ones still landing licensing and commission deals.",,,,,52,27-1013,1,55,85,60,45,Moderate
video-editor,Video Editor,Creative,45,Moderate,50000,100000,stable,4,3,"Agentic Video Tools (Runway, Descript, CapCut)",Motion Graphics & VFX,Storytelling & Narrative Design,"AI now assembles rough cuts, captions, and color grades footage without an editor's involvement for routine formats. Editors who shape narrative pacing, run complex composites, and sit with clients through creative decisions are commanding the premium end of the rate card.",30,34,38,42,45,27-4032,1,48,80,55,48,Moderate
journalist,Journalist,Creative,44,Moderate,40000,90000,mixed,5,3,AI-Assisted Research & OSINT Verification,Data Journalism & Visualization,Source Development & Investigative Reporting,"AI now drafts most commodity news competently, and journalists increasingly edit AI output rather than write it from scratch. In an AI-saturated information environment, original reporting and verified sourcing carry a trust premium algorithms can't replicate.",35,40,44,48,44,27-3023,1,47,76,56,54,High
voice-actor,Voice Actor,Creative,42,Moderate,35000,90000,declining,4,3,"Voice-Cloning Consent, Licensing & Synthetic-Voice Direction",Lead Character & Performance-Capture Acting,Union/AI-Rights Contract Literacy,"Synthetic voice is now broadcast-quality for narration, IVR, and background game voices, and studios default to it for cost reasons. Voice actors who hold lead roles, union protections, and irreplaceable performance range are the ones still getting booked.",,,,,42,27-2011,1,45,82,58,45,Moderate
animator,Animator,Creative,41,Moderate,55000,115000,stable,4,3,"Generative Video Tools for Pre-Vis (Runway, Pika)",Character Rigging & Performance Animation,VFX Pipeline Direction,"Generative video tools now handle rough pre-visualization and templated motion graphics, compressing early-stage production time. Animators who own character performance, rigging, and full VFX pipelines remain the load-bearing talent studios build schedules around.",,,,,41,27-1014,1,48,68,42,42,Moderate
music-producer,Music Producer,Creative,40,Moderate,40000,120000,stable,4,3,"Generative Music Tools (Suno, Udio, AI Mastering)",Artist Development & A&R,Live Sound Engineering,"Generative tools now produce usable beats and masters in minutes, pulling revenue from commodity production work. Producers who build an artist's sound over a full body of work, and who can run a live session, are the ones labels still pay for.",28,32,35,38,40,27-2012,1,45,78,45,40,Moderate
author,Author,Creative,38,Moderate,45000,100000,mixed,4,3,AI-Assisted Drafting & Revision Workflows,Original Literary Voice & Narrative Craft,Author Platform & Reader Trust-Building,"AI can now produce a passable formulaic draft in any popular genre in minutes, flooding self-publishing categories with volume. Authors whose voice, originality, and platform readers actively seek out are the ones still commanding advances and backlist sales.",,,,,38,27-3043,1,42,80,45,45,Moderate
photographer,Photographer,Creative,35,Moderate,35000,85000,mixed,4,3,"AI Photo Editing (Lightroom AI, Luminar)",Creative Direction & Art Direction,Video & Multimedia Production,"Generative image tools have largely displaced commodity stock and product photography. Photographers whose work depends on being physically present — weddings, events, editorial shoots — remain far more insulated than catalog and stock work.",25,28,32,35,35,27-4021,1,38,78,50,38,Moderate
sound-designer,Sound Designer,Creative,35,Low,42000,88000,mixed,3,3,Generative Audio & Sound-Effect Tools,Spatial Mixing & Dub-Stage Craft,Original Sonic Identity Design,"Generative audio tools now cover stock sound effects and basic foley, but the final mix that makes a scene actually land still needs a trained ear. This is a role where AI eats the library work, not the craft.",,,,,35,27-4014,2,42,62,42,36,Moderate
fashion-designer,Fashion Designer,Creative,32,Low,50000,110000,mixed,3,3,"Generative Print, Textile & Trend-Forecasting Tools",Garment Construction & Fit Engineering,Collection Direction & Brand Vision,"AI speeds up print and trend concept work, but a collection still lives or dies on fit, construction, and a designer's point of view. Concept-stage work is commoditizing faster than the craft of making clothes that fit.",,,,,32,27-1022,2,38,58,48,34,Low
screenwriter,Screenwriter,Creative,32,Low,50000,130000,mixed,3,3,AI-Assisted Coverage & Outline Drafting,Original Story Structure & Character Voice,Guild/AI-Use Contract Literacy (WGA MBA Terms),"AI drafts serviceable coverage and rough outlines fast, but guild rules and the need for a distinct authorial voice keep credited screenwriting largely human for now. That guardrail is a contract fact, not a permanent technical one.",,,,,32,27-3043,2,38,78,30,35,Low
art-director,Art Director,Creative,30,Low,75000,150000,stable,3,3,Directing Generative-AI Creative Pipelines,Cross-Discipline Creative Team Leadership,Client & Stakeholder Presentation Craft,"AI now generates most of the raw creative options an art director reviews, but the judgment call of what actually ships still sits with a human. The job is shifting from making things to curating and directing what AI makes.",,,,,30,27-1011,2,32,75,60,35,Low
interior-designer,Interior Designer,Creative,29,Low,45000,90000,stable,3,3,AI Rendering & Visualization Tools,Code Compliance & Site-Condition Expertise,Client Relationship & Vendor Management,"AI now speeds up mood boards and concept renders, but the physical realities of a space — code compliance, site conditions, procurement — still require a human designer on-site. Concept visualization is commoditizing faster than the execution work around it.",,,,,29,27-1025,2,35,60,42,28,Low
set-designer,Set Designer,Creative,23,Low,42000,85000,stable,3,3,AI Concept Rendering & Visualization Tools,Physical Build Feasibility & Materials Expertise,On-Site Production Supervision,"AI speeds up concept pitches and mood boards, but a set designer's real value is running a physical build a director can actually shoot on. That work stays firmly in the physical world.",,,,,23,27-1027,2,30,55,35,22,Low
choreographer,Choreographer,Creative,8,Low,35000,75000,stable,3,2,AI-Assisted Rehearsal Documentation & Scheduling Tools,Original Movement Creation & Performance Direction,Live Performer Coaching & Feedback Craft,"Choreography is one of the most physically embodied creative professions, and current AI has essentially no path into directing a live performer's movement. Administrative and documentation tasks around the craft are the only exposed slice.",,,,,8,27-2032,2,12,40,15,8,Low
craft-artist,Craft Artist,Creative,5,Low,28000,58000,stable,3,2,AI-Assisted Shop Listings & Marketing Copy,Original Technique Mastery & Material Innovation,Workshop Teaching & Maker-Community Building,"Craft art is about as physically embodied as creative work gets, and current AI has no path into the actual making. The only exposed slice is the online-shop marketing layer around the craft.",,,,,5,27-1012,2,8,35,12,6,Low
talent-sourcer,Talent Sourcer,HR & Recruiting,62,High,45000,80000,declining,4,2,"Agentic AI Sourcing Tools (SeekOut, hireEZ)",Niche & Passive-Talent Market Research,Sourcing Strategy & Tool Rollout,"Agentic sourcing tools now run the full search-enrich-outreach loop unattended, which is why this is one of the most exposed jobs in recruiting. Sourcers who survive move into niche market research or into designing the sourcing stack instead of running it by hand.",,,,,62,13-1071,2,65,82,65,65,High
recruiter,Recruiter,HR & Recruiting,57,High,50000,110000,mixed,5,3,"AI Sourcing & Screening Platforms (SeekOut, hireEZ)",Executive & Passive-Candidate Recruiting,Employer Branding & Talent Market Intelligence,"AI now runs the sourcing-to-scheduling pipeline end-to-end for most volume hiring, and agentic tools are starting to run full outreach sequences unattended. Recruiters who survive the cut are the ones selling hard-to-close candidates and running searches AI can't source its way into.",40,45,50,55,57,13-1071,1,60,78,68,58,High
compensation-analyst,Compensation Analyst,HR & Recruiting,54,High,65000,110000,stable,4,3,"AI Compensation Analytics Platforms (Payscale, Pave, Mercer AI)",Executive & Equity Compensation Design,Pay Transparency & Multi-State Compliance,"AI now runs most market benchmarking and pay-equity audits directly from survey data, collapsing the analyst hours once spent compiling comp studies. Analysts who move into executive compensation design, equity strategy, and multi-state pay-transparency compliance are absorbing the higher-value work employers still won't hand to a model.",38,42,48,52,54,13-1141,1,60,72,60,50,Moderate
benefits-administrator,Benefits Administrator,HR & Recruiting,52,High,55000,95000,stable,4,2,"Benefits Platform Administration (Workday, ADP, Businessolver)",Benefits Plan Design & Vendor Negotiation,Total Rewards Communication,"AI now runs enrollment, eligibility, and COBRA administration end-to-end. Administrators who move into plan design and vendor negotiation keep the work AI can't yet own.",,,,,52,13-1141,2,58,72,60,50,Moderate
training-coordinator,Training Coordinator,HR & Recruiting,49,Moderate,45000,70000,stable,4,3,LMS Administration with AI Scheduling & Reporting,AI Upskilling Program Design,Training ROI Measurement & Analytics,"AI now runs the scheduling, tracking, and survey mechanics of a training calendar without a coordinator touching it. The job is narrowing to program design and proving learning ROI, work that determines whether the AI upskilling push actually changes performance.",35,38,43,48,49,13-1151,1,55,70,58,45,Moderate
hr-generalist,HR Generalist,HR & Recruiting,43,Moderate,50000,85000,stable,4,3,"AI HR Chatbot & Case Management Tools (Workday Assistant, Lattice AI)",Employee Relations & Workplace Investigations,HR Technology Change Management,"Chatbots and HRIS assistants now close out most routine FAQ, onboarding, and leave-tracking work that used to fill a generalist's week. The role is consolidating around employee relations, culture, and rolling out the HR tech itself, work that still needs a person in the room.",30,34,38,42,43,13-1071,1,48,70,60,38,Moderate
hris-analyst,HRIS Analyst,HR & Recruiting,43,Moderate,60000,105000,stable,4,3,"HRIS Platform Configuration (Workday, SAP SuccessFactors, UKG)",HR System Integration & Architecture,AI Agent Governance in HR Systems,AI copilots now build the routine reports and configuration changes that filled an HRIS analyst's queue. The role is shifting toward system architecture and governing the AI agents now embedded in the platform itself.,,,,,43,13-1071,2,48,68,55,50,Moderate
hr-manager,HR Manager,HR & Recruiting,37,Moderate,70000,130000,stable,4,3,"AI HR Platform Administration (Workday AI, Lattice)",People Analytics & Workforce Planning,AI Governance & Internal AI-Use Policy,"AI now drafts the policy documents and runs the routine reporting that used to eat an HR manager's calendar. What's left, and growing, is the part that scales with judgment: culture strategy, thorny employee-relations calls, and writing the rules for how the org itself uses AI.",28,32,35,38,37,11-3121,1,42,68,60,36,Moderate
executive-recruiter,Executive Recruiter,HR & Recruiting,24,Low,90000,180000,stable,3,3,Confidential Search & Executive Talent Mapping,AI Market-Intelligence & Longlist Tools,Board & Succession-Planning Advisory,"AI compiles the market maps and background research that used to take a search associate weeks, but persuading a sitting CEO to consider a move is not a prompt-able task. Executive recruiters who lean into board relationships and succession advisory are among the least exposed roles in recruiting.",,,,,24,13-1071,1,30,55,35,28,Low
labor-relations-specialist,Labor Relations Specialist,HR & Recruiting,20,Low,60000,105000,stable,3,3,Collective Bargaining Negotiation,AI Contract & Precedent Research Tools,Labor Law & Arbitration Representation,"AI can pull contract clauses and grievance precedent in seconds, but it can't sit across the table in a bargaining session or represent the company in arbitration. This keeps labor relations one of the lowest-exposure specialist roles in HR.",,,,,20,13-1075,2,26,50,28,22,Low
program-coordinator,Program Coordinator,Project & Product Management,50,Moderate,50000,80000,declining,4,3,"AI Scheduling & Tracker Automation (Asana AI, Notion AI)",Escalation Judgment & Stakeholder Triage,Agentic AI Literacy for Program Operations,"Most of what fills a program coordinator's day, scheduling, tracker updates, minute-taking, is now a background agent task, not a job. Coordinators who move into judgment work, deciding which fire actually needs a human, are the ones who keep a seat.",,,,,50,13-1082,2,55,70,55,58,High
scrum-master,Scrum Master,Project & Product Management,38,Moderate,85000,140000,stable,4,3,"AI-Generated Agile Reporting (Jira, Azure DevOps)",Team Coaching & Conflict Facilitation,SAFe or ICAgile Certification,"Burndown charts and retro summaries are now fully automated from tool telemetry, and no one misses making them by hand. That leaves the Scrum Master's real job exposed: can they actually build a team's trust, mediate a conflict, and clear a political impediment? Those who only ran ceremonies are the most at risk.",30,33,37,40,38,13-1082,1,40,75,62,52,High
project-manager,Project Manager,Project & Product Management,36,Moderate,80000,140000,stable,4,3,"AI Project Copilots (Asana AI, Monday AI, MS Project Copilot)",Agentic Workflow Oversight & Exception Handling,PMP / Agile & SAFe Certification,"Status decks, timeline updates, and action-item chasing are now a few prompts, not a Friday afternoon. Project managers whose entire job was reporting are being squeezed hardest, while those who negotiate scope, resolve conflict, and keep a team moving through ambiguity are seeing their role expand into program-level trust-building.",25,28,32,35,36,13-1082,1,38,72,60,48,Moderate
product-owner,Product Owner,Project & Product Management,30,Low,90000,160000,stable,4,3,"AI Backlog & Story Drafting Tools (Jira AI, Productboard)",Value-Based Prioritization Frameworks,Agentic AI Literacy for Product Teams,"AI now drafts most of the backlog: user stories, acceptance criteria, even release notes, from a short feature brief. That collapses the writing half of the job but sharpens the real one: which ten stories out of a hundred actually get built this sprint. Product Owners who can defend a prioritization call to five stakeholders at once are becoming harder to replace, not easier.",,,,,30,13-1082,1,33,68,56,42,Moderate
program-manager,Program Manager,Project & Product Management,29,Low,100000,170000,stable,4,3,"AI Portfolio & Program Dashboards (Jira Align, Smartsheet AI)",Agentic Workflow Governance for Multi-Program Delivery,PgMP / Strategic Program Leadership,"AI now auto-generates the status rollups and dependency maps that used to eat a program manager's Friday afternoons. What it can't do is decide which of three conflicting program priorities the VP actually cares about, or hold a vendor accountable after a missed milestone. Program managers who move from status-reporting to risk-arbitration are becoming more valuable, not less.",22,25,27,30,29,13-1082,1,32,65,52,40,Moderate
product-manager,Product Manager,Project & Product Management,28,Low,100000,180000,rising,4,3,AI Agent Orchestration for Product Workflows,"Prompt-Driven PRD and Roadmap Tooling (Productboard AI, Notion AI)",Outcome-Based Prioritization & Strategy,"AI now drafts specs and synthesizes user feedback in minutes, collapsing work that used to take a day. That is compressing junior PM headcount at some startups, but it is raising the bar for PMs who can translate ambiguous business goals into hard prioritization calls. The scarcest skill in 2026 isn't writing PRDs, it's deciding which ten features not to build.",16,18,20,22,28,13-1082,1,30,68,58,40,Moderate
technical-program-manager,Technical Program Manager,Project & Product Management,27,Low,130000,210000,stable,4,3,Cross-Team Technical Risk Arbitration,"AI-Assisted Dependency & Repo Analytics (GitHub Projects, Jira+Copilot)",Agentic AI Literacy for Engineering Programs,"AI can already map dependencies across a dozen engineering teams and flag a slipping timeline before a human notices, but it can't sit in a room and get two staff engineers to agree on an architecture trade-off. TPMs whose value is that negotiation, not the status deck, are largely insulated.",,,,,27,13-1082,2,30,64,50,38,Moderate
engagement-manager,Engagement Manager,Project & Product Management,26,Low,95000,170000,stable,4,3,AI Contract & SOW Drafting Tools (Ironclad AI),Client Relationship & Scope Negotiation,Agentic AI Literacy for Delivery Operations,AI now drafts the status decks and flags slipping deliverables before an engagement manager even opens the project tracker. What still requires a human is reading a client's mood in a steering committee meeting and knowing when to eat a scope change instead of billing for it.,,,,,26,13-1111,2,30,64,48,36,Moderate
construction-manager,Construction Manager,Skilled Trades & Construction,22,Low,72000,145000,stable,4,4,AI-assisted scheduling and cost-forecasting platform fluency,BIM coordination and clash-detection oversight,Agentic project-management tool deployment (RFI/submittal routing),"Construction management is the highest-exposure role in this category because the job is half digital pipeline: schedules, budgets, RFIs and progress reports are exactly what AI project-management tools now handle, and mid-size and large contractors are already running them. What still requires a human is the part no software owns: reading a job site, negotiating with subcontractors, and making the safety call when the plan and reality diverge.",,,,,22,11-9021,1,28,58,42,20,Low
general-contractor,General Contractor,Skilled Trades & Construction,20,Low,58000,118000,stable,4,3,AI-assisted bidding and scheduling software fluency,Client and change-order negotiation skills,Multi-trade project coordination certification,"General contractors carry meaningful exposure on the paperwork side, bidding, scheduling and permitting are increasingly software-driven, while site coordination and client relationships remain a human function.",,,,,20,11-9021,2,26,55,38,18,Low
surveyor,Surveyor,Skilled Trades & Construction,20,Low,50000,92000,mixed,3,3,LiDAR/drone photogrammetry and AI point-cloud processing fluency,Professional land surveyor (PLS) licensure and certification,Legal boundary and title-dispute consulting skills,"Surveying carries the highest exposure among the new trades here: drone and LiDAR data capture with AI point-cloud processing is mature and mainstream, compressing field-crew time, while licensed boundary determination remains a professional, liability-bearing function AI tools only support.",,,,,20,17-1022,2,25,58,40,17,Low
cnc-operator,CNC Operator,Skilled Trades & Construction,18,Low,36000,58000,mixed,4,3,CNC programming and CAM software cross-training,Multi-machine cell setup and changeover skills,Manufacturing automation certification,"CNC operating is one of the higher-exposure trades in this category: modern machines already run programs and quality checks with minimal input, and adoption is mainstream in manufacturing. The mixed outlook reflects reshoring-driven demand for machine time colliding with fewer operators needed per machine.",,,,,18,51-9161,2,24,55,38,13,Low
home-inspector,Home Inspector,Skilled Trades & Construction,18,Low,48000,88000,stable,3,3,AI-assisted inspection-report software fluency,"Specialty inspection certifications (radon, mold, structural)",Client consultation and walkthrough communication skills,"Home inspection carries above-average trade exposure because AI image analysis and automated report generation are real, shipped capabilities gaining adoption, while the physical field judgment behind a defect call still needs a person on site.",,,,,18,47-4011,2,24,52,35,16,Low
machinist,Machinist,Skilled Trades & Construction,15,Low,39000,65000,stable,4,3,CAM/AI toolpath-optimization software fluency,Multi-axis and additive manufacturing cross-training,Precision quality-inspection certification,"Machinists face moderate, rising exposure as CAM and AI toolpath tools take over programming, but precision setup and tolerance troubleshooting on the actual floor still require a trained eye AI inspection cameras don't fully replace yet.",,,,,15,51-4041,2,20,50,32,12,Low
auto-mechanic,Auto Mechanic,Skilled Trades & Construction,13,Low,37000,68000,mixed,4,3,"EV/hybrid high-voltage certification (e.g., ASE xEV)",AI diagnostic-platform interpretation skills,Advanced driver-assistance system (ADAS) calibration,"Auto mechanics carry more exposure than most trades because AI-assisted diagnostic platforms are mature, mainstream in dealership service bays, and genuinely automate fault-code interpretation. The mixed trend reflects two forces pulling apart: EV and ADAS complexity is creating higher-skill demand even as routine ICE maintenance keeps shrinking with vehicle reliability and diagnostic automation.",,,,,13,49-3023,1,18,50,35,10,Low
appliance-repair-technician,Appliance Repair Technician,Skilled Trades & Construction,12,Low,36000,60000,mixed,3,3,Smart-appliance and IoT diagnostic platform fluency,Manufacturer-specific certification programs,Repair-vs-replace consulting skills,"Appliance repair shows moderate exposure as manufacturer diagnostic apps mature, but the trend is mixed: smart appliances create more diagnostic complexity even as consumers increasingly replace rather than repair low-cost units.",,,,,12,49-9031,2,17,48,30,9,Low
solar-installer,Solar Installer,Skilled Trades & Construction,12,Low,40000,68000,rising,4,3,Battery-storage and microgrid commissioning certification,AI solar-design and permitting software fluency,Electrification and energy-consulting skills for customers,"Solar installation shows one of the fastest tool-maturity curves in the trades: AI-driven design and permitting software is now close to standard practice, automating the proposal-to-permit pipeline. The physical install, especially battery and microgrid commissioning as storage attaches to more systems, is where the job's growth and its floor against automation both sit.",,,,,12,47-2231,1,16,48,33,11,Low
diesel-mechanic,Diesel Mechanic,Skilled Trades & Construction,11,Low,45000,78000,stable,4,3,Fleet telematics and predictive-maintenance platform fluency,Electric/hybrid heavy-truck drivetrain certification,DOT compliance and fleet-inspection expertise,"Diesel mechanics see moderate exposure because fleet telematics and AI-assisted diagnostics are mature and mainstream among large carriers, automating first-level fault triage, while the physical repair work and DOT-compliance judgment stay firmly manual.",,,,,11,49-3031,2,16,46,28,9,Low
hvac-technician,HVAC Technician,Skilled Trades & Construction,11,Low,45000,80000,rising,4,3,Heat-pump and electrification system certification,AI diagnostic-platform fluency (connected thermostat/IoT data),EPA refrigerant handling and compliance expertise,"HVAC sits slightly above other trades because connected thermostats and AI-assisted diagnostics genuinely automate first-level fault triage today, and adoption is real at scale among larger service franchises. The heat-pump and electrification wave is the growth lane: commissioning new all-electric systems isn't something diagnostic software can do end-to-end.",,,,,11,49-9021,1,15,45,30,10,Low
landscaper,Landscaper,Skilled Trades & Construction,9,Low,30000,48000,stable,4,3,AI landscape-design and route-optimization software fluency,Certified plant-health and pest-management expertise,Robotic-equipment fleet oversight skills,"Landscaping's risk is modest and concentrated in scheduling and design proposals, where AI route-optimization and rendering tools are gaining real traction, while planting and hardscape installation stay physical work.",,,,,9,37-3011,2,14,32,22,8,Low
locksmith,Locksmith,Skilled Trades & Construction,9,Low,36000,62000,mixed,3,3,Electronic access-control and smart-lock certification,Security-system integration consulting skills,Access-control management software fluency,"Locksmithing's risk is modest and shifting: mechanical lockout work stays entirely manual, while growth in smart-lock and access-control system installation is reshaping the job's digital half.",,,,,9,49-9094,2,13,35,22,7,Low
wind-turbine-technician,Wind Turbine Technician,Skilled Trades & Construction,9,Low,48000,82000,rising,3,3,Advanced turbine platform and gearbox certification,SCADA/predictive-maintenance data interpretation,Height-safety and drone-assisted inspection skills,"Wind turbine technician remains one of the fastest-growing trades: remote condition-monitoring is mature and near-universal among operators, but the physical climb-and-repair work keeps risk low even as demand rises with fleet growth.",,,,,9,49-9081,2,13,42,28,9,Low
electrician,Electrician,Skilled Trades & Construction,8,Low,50000,85000,rising,4,3,EV charger and smart-panel installation certification,AI-assisted estimating and takeoff software fluency,Electrification and solar-integration consulting,"Electricians sit near the floor of AI displacement risk because the licensed physical work of pulling wire and passing inspection has no automatable substitute, but the back office is changing fast: AI-assisted estimating and permit-paperwork tools are already trimming hours from bidding. The growth lane runs through electrification work AI can't yet spec: EV chargers, smart panels and solar-ready service upgrades.",,,,,8,47-2111,1,12,40,25,9,Low
heavy-equipment-operator,Heavy Equipment Operator,Skilled Trades & Construction,8,Low,43000,78000,rising,3,3,GPS machine-control and semi-autonomous grading certification,Multi-equipment cross-training,Fleet telemetry and maintenance-tracking software literacy,"Heavy-equipment operation trends toward rising demand as infrastructure spending grows, and semi-autonomous GPS grading systems are shifting the job toward oversight of assisted equipment rather than replacing operators outright.",,,,,8,47-2073,2,12,38,22,9,Low
carpenter,Carpenter,Skilled Trades & Construction,7,Low,42000,78000,stable,4,3,Digital takeoff and cut-list software fluency,Finish carpentry and custom fabrication specialization,Crew lead and trade-sequencing coordination,"Carpentry's risk is capped by the physical craft: framing, trim and site-adapted problem-solving resist automation, while digital cut-list and takeoff tools quietly speed up the estimating side of the job. Carpenters who can run that software and lead multi-trade sequencing are the best-positioned in the trade.",,,,,7,47-2031,1,10,32,20,7,Low
elevator-technician,Elevator Technician,Skilled Trades & Construction,7,Low,70000,115000,rising,3,3,Elevator modernization and code-upgrade certification,IoT predictive-maintenance platform fluency,Safety-critical diagnostic and repair expertise,"Elevator technicians see rising demand as aging buildings require modernization, and remote predictive-maintenance sensors now handle real monitoring work, but code-compliant repair itself remains licensed, hands-on work.",,,,,7,47-4021,2,11,35,22,7,Low
painter,Painter,Skilled Trades & Construction,7,Low,35000,60000,stable,4,3,AI photo-to-estimate software fluency,Specialty and decorative finish techniques,Lead-safe and surface-prep certification,"Painting's exposure is modest and concentrated in bidding: AI photo-to-estimate tools are gaining real traction with larger companies, while surface prep and application stay a hands-on craft.",,,,,7,47-2141,2,11,33,20,7,Low
construction-laborer,Construction Laborer,Skilled Trades & Construction,6,Low,32000,55000,stable,3,3,Apprenticeship pathway into a licensed trade,OSHA safety and equipment-operation certification,Site logistics and material-tracking software literacy,"Construction laborer is near the floor of this index: the job is site presence and physical handling, and the only digital slice, delivery and inventory tracking, is a small share of the role.",,,,,6,47-2061,2,10,28,18,7,Low
crane-operator,Crane Operator,Skilled Trades & Construction,6,Low,48000,85000,stable,3,3,"Advanced crane certification (NCCCO, larger load classes)",Load-monitoring and anti-collision sensor system fluency,Multi-crane lift coordination expertise,"Crane operation stays low-risk: sensor-based load monitoring is mature and mainstream on large sites, but the safety-critical judgment of an actual lift has no autonomous substitute in production use.",,,,,6,53-7021,2,9,35,20,7,Low
